"通貨ペア","日付","始値","高値","安値","終値"
"5","2018/07/24",1.30966,1.31587,1.30709,1.31438
"5","2018/07/23",1.31219,1.31577,1.30814,1.30979
"5","2018/07/20",1.30086,1.31392,1.29944,1.31294
"5","2018/07/19",1.30647,1.30825,1.29566,1.30131
"5","2018/07/18",1.31031,1.31162,1.30095,1.30719
"5","2018/07/17",1.32350,1.32679,1.30685,1.3111
"5","2018/07/16",1.32230,1.32921,1.32162,1.3236
"5","2018/07/13",1.31969,1.32357,1.31019,1.32336
"5","2018/07/12",1.31994,1.32445,1.31798,1.32056
"5","2018/07/11",1.32713,1.32845,1.31987,1.32036
"5","2018/07/10",1.32506,1.33006,1.32226,1.32725
"5","2018/07/09",1.33098,1.33621,1.31893,1.32566
"5","2018/07/06",1.32130,1.32896,1.32026,1.32807
"5","2018/07/05",1.32293,1.32741,1.32033,1.32195
"5","2018/07/04",1.31873,1.32493,1.31696,1.32275
"5","2018/07/03",1.31370,1.32060,1.31142,1.31933
"5","2018/07/02",1.31940,1.32081,1.30945,1.31424
"5","2018/06/29",1.30670,1.32131,1.30652,1.32098
"5","2018/06/28",1.31118,1.31200,1.30487,1.30773
"5","2018/06/27",1.32138,1.32331,1.31057,1.31166
"5","2018/06/26",1.32711,1.32913,1.31918,1.32208
"5","2018/06/25",1.32621,1.32904,1.32203,1.32793
"5","2018/06/22",1.32410,1.33142,1.32352,1.32603
"5","2018/06/21",1.31700,1.32690,1.31012,1.32409
"5","2018/06/20",1.31665,1.32166,1.31459,1.31766
"5","2018/06/19",1.32385,1.32722,1.31498,1.31726
"5","2018/06/18",1.32726,1.32757,1.32252,1.32473
"5","2018/06/15",1.32561,1.32975,1.32106,1.32825
"5","2018/06/14",1.33678,1.34460,1.32602,1.32649
"5","2018/06/13",1.33690,1.33889,1.33075,1.3373
"5","2018/06/12",1.33743,1.34239,1.33412,1.33705
"5","2018/06/11",1.34033,1.34407,1.33434,1.33809
"5","2018/06/08",1.34129,1.34385,1.33537,1.34061
"5","2018/06/07",1.34097,1.34719,1.33716,1.34195
"5","2018/06/06",1.33931,1.34424,1.33905,1.34117
"5","2018/06/05",1.33101,1.34081,1.33016,1.33936
"5","2018/06/04",1.33421,1.33978,1.32941,1.33102
"5","2018/06/01",1.32862,1.33612,1.32530,1.33494
"5","2018/05/31",1.32829,1.33474,1.32739,1.32922
"5","2018/05/30",1.32476,1.33067,1.32414,1.32855
"5","2018/05/29",1.33038,1.33244,1.32037,1.32543
"5","2018/05/28",1.33051,1.33404,1.32956,1.33103
"5","2018/05/25",1.33737,1.33871,1.33044,1.33067
"5","2018/05/24",1.33429,1.34210,1.33427,1.33809
"5","2018/05/23",1.34282,1.34416,1.33046,1.33498
"5","2018/05/22",1.34233,1.34909,1.34118,1.34317
"5","2018/05/21",1.34668,1.34826,1.33901,1.34286
"5","2018/05/18",1.35087,1.35270,1.34543,1.34812
"5","2018/05/17",1.34936,1.35686,1.34736,1.35133
"5","2018/05/16",1.35027,1.35200,1.34551,1.34892
"5","2018/05/15",1.35509,1.35711,1.34506,1.35071
"5","2018/05/14",1.35368,1.36074,1.35365,1.35545
"5","2018/05/11",1.35139,1.35950,1.35013,1.35432
"5","2018/05/10",1.35405,1.36168,1.34593,1.35166
"5","2018/05/09",1.35392,1.36065,1.34984,1.35476
"5","2018/05/08",1.35556,1.35922,1.34841,1.3548
"5","2018/05/07",1.35297,1.35749,1.35145,1.35566
"5","2018/05/04",1.35684,1.35851,1.34858,1.35318
"5","2018/05/03",1.35732,1.36287,1.35372,1.35732
"5","2018/05/02",1.36090,1.36652,1.35543,1.35708
"5","2018/05/01",1.37598,1.37722,1.35876,1.36149
"5","2018/04/30",1.37701,1.37918,1.37118,1.37638
"5","2018/04/27",1.39122,1.39339,1.37467,1.37781
"5","2018/04/26",1.39285,1.39973,1.38939,1.39145
"5","2018/04/25",1.39737,1.39960,1.39226,1.39257
"5","2018/04/24",1.39333,1.39864,1.39173,1.3977
"5","2018/04/23",1.39985,1.40304,1.39255,1.39375
"5","2018/04/20",1.40767,1.40902,1.40065,1.40101
"5","2018/04/19",1.42054,1.42450,1.40681,1.4086
"5","2018/04/18",1.42832,1.43140,1.41726,1.42051
"5","2018/04/17",1.43309,1.43757,1.42819,1.42901
"5","2018/04/16",1.42360,1.43434,1.42343,1.43378
"5","2018/04/13",1.42239,1.42957,1.42199,1.42405
"5","2018/04/12",1.41743,1.42460,1.41446,1.42248
"5","2018/04/11",1.41714,1.42226,1.41601,1.4177
"5","2018/04/10",1.41243,1.41874,1.41197,1.41748
"5","2018/04/09",1.40831,1.41636,1.40779,1.41283
"5","2018/04/06",1.39977,1.41049,1.39824,1.40873
"5","2018/04/05",1.40761,1.40964,1.39648,1.40054
"5","2018/04/04",1.40516,1.40959,1.40146,1.40798
"5","2018/04/03",1.40429,1.40881,1.40202,1.40584
"5","2018/04/02",1.40231,1.40771,1.40152,1.40425
"5","2018/03/30",1.40187,1.40594,1.40115,1.40255
"5","2018/03/29",1.40706,1.40955,1.40100,1.40209
"5","2018/03/28",1.41547,1.41998,1.40699,1.40759
"5","2018/03/27",1.42224,1.42435,1.40653,1.41577
"5","2018/03/26",1.41428,1.42437,1.41412,1.42296
"5","2018/03/23",1.40977,1.41712,1.40846,1.41358
"5","2018/03/22",1.41370,1.42159,1.40753,1.40973
"5","2018/03/21",1.39928,1.41499,1.39928,1.41414
"5","2018/03/20",1.40213,1.40658,1.39820,1.39978
"5","2018/03/19",1.39366,1.40876,1.39122,1.40247
"5","2018/03/16",1.39300,1.39800,1.38885,1.39443
"5","2018/03/15",1.39572,1.39880,1.39208,1.39342
"5","2018/03/14",1.39574,1.39950,1.39247,1.39624
"5","2018/03/13",1.38999,1.39933,1.38739,1.39649
"5","2018/03/12",1.38442,1.39167,1.38404,1.39006
"5","2018/03/09",1.38079,1.38884,1.37874,1.38513
"5","2018/03/08",1.38973,1.39092,1.37808,1.38084
"5","2018/03/07",1.38860,1.39115,1.38450,1.39041
"5","2018/03/06",1.38436,1.39289,1.38159,1.38884
"5","2018/03/05",1.37951,1.38767,1.37658,1.38468
"5","2018/03/02",1.37682,1.38161,1.37550,1.37915
"5","2018/03/01",1.37534,1.37846,1.37110,1.37756
"5","2018/02/28",1.39023,1.39155,1.37562,1.37604
"5","2018/02/27",1.39618,1.39959,1.38569,1.39099
"5","2018/02/26",1.39810,1.40691,1.39274,1.39658
"5","2018/02/23",1.39538,1.40045,1.39046,1.39638
"5","2018/02/22",1.39123,1.39881,1.38561,1.39557
"5","2018/02/21",1.39903,1.40081,1.39039,1.39194
"5","2018/02/20",1.39958,1.40237,1.39305,1.39958
"5","2018/02/19",1.40106,1.40487,1.39581,1.39996
"5","2018/02/16",1.40928,1.41442,1.39960,1.40233
"5","2018/02/15",1.40023,1.41038,1.39913,1.40968
"5","2018/02/14",1.38831,1.40159,1.37995,1.39965
"5","2018/02/13",1.38311,1.39236,1.38299,1.38877
"5","2018/02/12",1.38038,1.38752,1.37955,1.38381
"5","2018/02/09",1.39113,1.39863,1.37639,1.38249
"5","2018/02/08",1.38679,1.40665,1.38448,1.39127
"5","2018/02/07",1.39421,1.39930,1.38476,1.38802
"5","2018/02/06",1.39523,1.39988,1.38357,1.39488
"5","2018/02/05",1.40957,1.41497,1.39533,1.39563
"5","2018/02/02",1.42625,1.42772,1.41005,1.41213
"5","2018/02/01",1.41889,1.42775,1.41588,1.42622
"5","2018/01/31",1.41392,1.42320,1.41211,1.41903
"5","2018/01/30",1.40689,1.41659,1.39792,1.41463
"5","2018/01/29",1.41328,1.41576,1.40246,1.4073
"5","2018/01/26",1.41381,1.42877,1.41096,1.41482
"5","2018/01/25",1.42366,1.43447,1.40824,1.41373
"5","2018/01/24",1.39970,1.42406,1.39964,1.42323
"5","2018/01/23",1.39775,1.40263,1.39149,1.40003
"5","2018/01/22",1.38889,1.39900,1.38566,1.39875
"5","2018/01/19",1.38913,1.39444,1.38382,1.38599
"5","2018/01/18",1.38229,1.39127,1.38040,1.3893
"5","2018/01/17",1.37860,1.39417,1.37560,1.38223
"5","2018/01/16",1.37879,1.38050,1.37413,1.37895
"5","2018/01/15",1.37238,1.38187,1.37197,1.37951
"5","2018/01/12",1.35319,1.37434,1.35293,1.37335
"5","2018/01/11",1.35035,1.35540,1.34574,1.35371
"5","2018/01/10",1.35357,1.35615,1.34810,1.35081
"5","2018/01/09",1.35602,1.35817,1.35049,1.35388
"5","2018/01/08",1.35532,1.35847,1.35224,1.35659
"5","2018/01/05",1.35432,1.35818,1.35226,1.35641
"5","2018/01/04",1.35088,1.35590,1.35048,1.35502
"5","2018/01/03",1.35878,1.36122,1.34933,1.35144
"5","2018/01/02",1.34992,1.35995,1.34949,1.35944
"5","2017/12/29",1.34369,1.35434,1.34243,1.35017
"5","2017/12/28",1.34055,1.34558,1.33933,1.34402
"5","2017/12/27",1.33681,1.34287,1.33669,1.33988
"5","2017/12/26",1.33639,1.33886,1.33467,1.33736
"5","2017/12/25",1.33523,1.33815,1.33523,1.33605
"5","2017/12/22",1.33801,1.33969,1.33457,1.33619
"5","2017/12/21",1.33695,1.33868,1.33309,1.33828
"5","2017/12/20",1.33793,1.34195,1.33711,1.3374
"5","2017/12/19",1.33784,1.34014,1.33304,1.33861
"5","2017/12/18",1.33080,1.34177,1.33080,1.33819
"5","2017/12/15",1.34263,1.34468,1.33007,1.33256
