"通貨ペア","日付","始値","高値","安値","終値"
"15","2018/02/21",1.15472,1.15582,1.15293,1.15306
"15","2018/02/20",1.15206,1.15557,1.15161,1.15474
"15","2018/02/19",1.15118,1.15337,1.15019,1.15234
"15","2018/02/16",1.15248,1.15443,1.15009,1.15055
"15","2018/02/15",1.15694,1.15741,1.15171,1.15281
"15","2018/02/14",1.15471,1.15826,1.14958,1.15673
"15","2018/02/13",1.15380,1.15600,1.15053,1.15467
"15","2018/02/12",1.15049,1.15478,1.14845,1.15446
"15","2018/02/09",1.14567,1.15257,1.14478,1.15065
"15","2018/02/08",1.15645,1.15923,1.14445,1.14623
"15","2018/02/07",1.15793,1.16170,1.15562,1.15628
"15","2018/02/06",1.15204,1.16263,1.15098,1.15867
"15","2018/02/05",1.16014,1.16374,1.15060,1.15176
"15","2018/02/02",1.15790,1.16203,1.15765,1.15985
"15","2018/02/01",1.15551,1.16049,1.15494,1.15839
"15","2018/01/31",1.15857,1.16349,1.15508,1.15585
"15","2018/01/30",1.16055,1.16144,1.15659,1.1586
"15","2018/01/29",1.16095,1.16351,1.15387,1.16065
"15","2018/01/26",1.16642,1.16829,1.15853,1.15962
"15","2018/01/25",1.17282,1.17353,1.16243,1.16667
"15","2018/01/24",1.17735,1.17794,1.16830,1.17301
"15","2018/01/23",1.17878,1.17943,1.17655,1.17772
"15","2018/01/22",1.17862,1.17956,1.17492,1.17925
"15","2018/01/19",1.17306,1.17723,1.17094,1.17715
"15","2018/01/18",1.17573,1.17728,1.17267,1.17332
"15","2018/01/17",1.17591,1.18002,1.17510,1.1757
"15","2018/01/16",1.18085,1.18258,1.17588,1.17597
"15","2018/01/15",1.17997,1.18305,1.17809,1.18105
"15","2018/01/12",1.17420,1.18077,1.17351,1.17987
"15","2018/01/11",1.16875,1.17550,1.16843,1.17395
"15","2018/01/10",1.17228,1.17453,1.16840,1.16878
"15","2018/01/09",1.16851,1.17363,1.16849,1.17325
"15","2018/01/08",1.17245,1.17445,1.16812,1.16933
"15","2018/01/05",1.17566,1.17761,1.17259,1.17265
"15","2018/01/04",1.17362,1.17730,1.17295,1.17599
"15","2018/01/03",1.17130,1.17604,1.16983,1.17365
"15","2018/01/02",1.16953,1.17257,1.16847,1.17158
"15","2017/12/29",1.16941,1.17199,1.16691,1.16928
"15","2017/12/28",1.17271,1.17354,1.16787,1.16825
"15","2017/12/27",1.17276,1.17746,1.17239,1.17241
"15","2017/12/26",1.17229,1.17533,1.17201,1.17334
"15","2017/12/25",1.17141,1.17290,1.17069,1.17289
"15","2017/12/22",1.17308,1.17426,1.16942,1.17329
"15","2017/12/21",1.17016,1.17479,1.16961,1.17357
"15","2017/12/20",1.16591,1.17179,1.16549,1.17138
"15","2017/12/19",1.16055,1.16746,1.16055,1.16575
"15","2017/12/18",1.16389,1.16658,1.16087,1.16102
"15","2017/12/15",1.16435,1.16847,1.16281,1.1631
"15","2017/12/14",1.16508,1.17024,1.16352,1.16454
"15","2017/12/13",1.16327,1.16543,1.16171,1.1654
"15","2017/12/12",1.16716,1.16826,1.16227,1.16375
"15","2017/12/11",1.16921,1.16943,1.16681,1.16711
"15","2017/12/08",1.17026,1.17173,1.16733,1.1679
"15","2017/12/07",1.16730,1.17147,1.16617,1.1703
"15","2017/12/06",1.16714,1.16984,1.16561,1.16744
"15","2017/12/05",1.16823,1.17015,1.16580,1.16755
"15","2017/12/04",1.16362,1.16917,1.16268,1.16894
"15","2017/12/01",1.17047,1.17346,1.15963,1.16143
"15","2017/11/30",1.16682,1.17134,1.16472,1.17085
"15","2017/11/29",1.16557,1.16790,1.16443,1.16619
"15","2017/11/28",1.16747,1.16973,1.16434,1.16479
"15","2017/11/27",1.16820,1.17208,1.16706,1.16783
"15","2017/11/24",1.16280,1.16952,1.16222,1.16876
"15","2017/11/23",1.16067,1.16400,1.15932,1.16317
"15","2017/11/22",1.16244,1.16437,1.15832,1.16044
"15","2017/11/21",1.16509,1.16684,1.16157,1.16363
"15","2017/11/20",1.16583,1.16799,1.15884,1.16528
"15","2017/11/17",1.16969,1.17205,1.16530,1.16573
"15","2017/11/16",1.16523,1.17018,1.16399,1.16952
"15","2017/11/15",1.16650,1.16874,1.16465,1.16541
"15","2017/11/14",1.16195,1.16740,1.16180,1.16716
"15","2017/11/13",1.16033,1.16273,1.15813,1.1618
"15","2017/11/10",1.15633,1.16177,1.15555,1.16136
"15","2017/11/09",1.15910,1.16172,1.15536,1.15693
"15","2017/11/08",1.15844,1.15980,1.15722,1.15957
"15","2017/11/07",1.15793,1.15958,1.15403,1.1589
"15","2017/11/06",1.16095,1.16383,1.15748,1.15791
"15","2017/11/03",1.16471,1.16509,1.16108,1.16118
"15","2017/11/02",1.16524,1.16618,1.16236,1.1649
"15","2017/11/01",1.16104,1.16620,1.16090,1.16567
"15","2017/10/31",1.15807,1.16312,1.15802,1.16151
"15","2017/10/30",1.15755,1.16171,1.15684,1.15841
"15","2017/10/27",1.16203,1.16476,1.15579,1.1573
