"通貨ペア","日付","始値","高値","安値","終値"
"3","2018/11/02",1.14086,1.14559,1.13719,1.13906
"3","2018/11/01",1.13092,1.14240,1.13053,1.14082
"3","2018/10/31",1.13411,1.13601,1.13022,1.13152
"3","2018/10/30",1.13701,1.13878,1.13404,1.13461
"3","2018/10/29",1.13957,1.14164,1.13604,1.13743
"3","2018/10/26",1.13709,1.14208,1.13356,1.14026
"3","2018/10/25",1.13910,1.14324,1.13560,1.13726
"3","2018/10/24",1.14689,1.14762,1.13788,1.13913
"3","2018/10/23",1.14650,1.14934,1.14393,1.14709
"3","2018/10/22",1.15115,1.15501,1.14556,1.14642
"3","2018/10/19",1.14497,1.15346,1.14328,1.15171
"3","2018/10/18",1.14989,1.15271,1.14491,1.14553
"3","2018/10/17",1.15696,1.15803,1.14957,1.14981
"3","2018/10/16",1.15774,1.16212,1.15659,1.15738
"3","2018/10/15",1.15492,1.16062,1.15429,1.15793
"3","2018/10/12",1.15873,1.16104,1.15342,1.15602
"3","2018/10/11",1.15205,1.15993,1.15176,1.15939
"3","2018/10/10",1.14905,1.15454,1.14798,1.15167
"3","2018/10/09",1.14885,1.15033,1.14320,1.14927
"3","2018/10/08",1.15198,1.15296,1.14598,1.14911
"3","2018/10/05",1.15120,1.15496,1.14838,1.15213
"3","2018/10/04",1.14786,1.15427,1.14632,1.15141
"3","2018/10/03",1.15433,1.15936,1.14640,1.14756
"3","2018/10/02",1.15771,1.15802,1.15050,1.15467
"3","2018/10/01",1.16078,1.16243,1.15635,1.15783
"3","2018/09/28",1.16379,1.16511,1.15697,1.16025
"3","2018/09/27",1.17452,1.17570,1.16389,1.16401
"3","2018/09/26",1.17636,1.17978,1.17259,1.17413
"3","2018/09/25",1.17439,1.17925,1.17307,1.17667
"3","2018/09/24",1.17431,1.18151,1.17240,1.17472
"3","2018/09/21",1.17748,1.18028,1.17327,1.17528
"3","2018/09/20",1.16728,1.17846,1.16688,1.17774
"3","2018/09/19",1.16629,1.17147,1.16501,1.16724
"3","2018/09/18",1.16822,1.17242,1.16521,1.16685
"3","2018/09/17",1.16243,1.16982,1.16178,1.16832
"3","2018/09/14",1.16880,1.17215,1.16206,1.16234
"3","2018/09/13",1.16260,1.17011,1.16090,1.16895
"3","2018/09/12",1.15985,1.16497,1.15699,1.16268
"3","2018/09/11",1.15933,1.16442,1.15654,1.16036
"3","2018/09/10",1.15482,1.16160,1.15257,1.15957
"3","2018/09/07",1.16192,1.16492,1.15505,1.15568
"3","2018/09/06",1.16273,1.16591,1.16052,1.16232
"3","2018/09/05",1.15803,1.16401,1.15425,1.16311
"3","2018/09/04",1.16142,1.16174,1.15300,1.15833
"3","2018/09/03",1.15944,1.16279,1.15889,1.1617
"3","2018/08/31",1.16667,1.16899,1.15845,1.16088
"3","2018/08/30",1.17061,1.17181,1.16416,1.16659
"3","2018/08/29",1.16928,1.17097,1.16516,1.17081
"3","2018/08/28",1.16767,1.17336,1.16625,1.16931
"3","2018/08/27",1.16216,1.16935,1.15944,1.16793
"3","2018/08/24",1.15359,1.16397,1.15346,1.16224
"3","2018/08/23",1.15940,1.15992,1.15297,1.15445
"3","2018/08/22",1.15678,1.16228,1.15530,1.15956
"3","2018/08/21",1.14828,1.16011,1.14822,1.15715
"3","2018/08/20",1.14339,1.14847,1.13940,1.14843
"3","2018/08/17",1.13731,1.14447,1.13664,1.144
"3","2018/08/16",1.13484,1.14092,1.13357,1.13738
"3","2018/08/15",1.13413,1.13549,1.13008,1.13459
"3","2018/08/14",1.14081,1.14292,1.13300,1.13422
"3","2018/08/13",1.13832,1.14328,1.13650,1.14076
"3","2018/08/10",1.15254,1.15364,1.13880,1.14144
"3","2018/08/09",1.16090,1.16193,1.15256,1.15298
"3","2018/08/08",1.15966,1.16281,1.15731,1.16098
"3","2018/08/07",1.15497,1.16081,1.15487,1.15977
"3","2018/08/06",1.15657,1.15703,1.15299,1.15534
"3","2018/08/03",1.15823,1.16104,1.15600,1.15649
"3","2018/08/02",1.16577,1.16675,1.15818,1.15853
"3","2018/08/01",1.16876,1.16995,1.16570,1.1661
"3","2018/07/31",1.17030,1.17459,1.16889,1.16968
"3","2018/07/30",1.16557,1.17188,1.16479,1.17057
"3","2018/07/27",1.16402,1.16643,1.16203,1.16602
"3","2018/07/26",1.17306,1.17435,1.16399,1.16419
"3","2018/07/25",1.16787,1.17384,1.16637,1.17301
"3","2018/07/24",1.16867,1.17167,1.16545,1.1682
"3","2018/07/23",1.17213,1.17503,1.16836,1.16912
"3","2018/07/20",1.16422,1.17388,1.16261,1.17169
"3","2018/07/19",1.16385,1.16786,1.15748,1.16417
"3","2018/07/18",1.16584,1.16648,1.16018,1.16427
"3","2018/07/17",1.17102,1.17445,1.16494,1.16612
"3","2018/07/16",1.16829,1.17252,1.16755,1.17113
"3","2018/07/13",1.16679,1.16858,1.16128,1.16841
"3","2018/07/12",1.16706,1.16956,1.16495,1.16703
"3","2018/07/11",1.17408,1.17582,1.16653,1.16757
"3","2018/07/10",1.17485,1.17625,1.16900,1.17451
"3","2018/07/09",1.17451,1.17906,1.17325,1.17501
"3","2018/07/06",1.16876,1.17677,1.16799,1.17444
"3","2018/07/05",1.16535,1.17201,1.16497,1.16913
"3","2018/07/04",1.16559,1.16817,1.16304,1.1655
"3","2018/07/03",1.16366,1.16731,1.16204,1.16593
"3","2018/07/02",1.16643,1.16823,1.15912,1.16387
"3","2018/06/29",1.15640,1.16900,1.15580,1.16876
"3","2018/06/28",1.15532,1.16005,1.15271,1.15684
"3","2018/06/27",1.16446,1.16721,1.15406,1.15555
"3","2018/06/26",1.17003,1.17205,1.16347,1.16461
"3","2018/06/25",1.16626,1.17130,1.16283,1.17006
"3","2018/06/22",1.16015,1.16749,1.15978,1.16584
"3","2018/06/21",1.15725,1.16335,1.15082,1.16046
"3","2018/06/20",1.15869,1.15998,1.15365,1.15771
"3","2018/06/19",1.16179,1.16445,1.15306,1.15885
"3","2018/06/18",1.15923,1.16242,1.15652,1.16233
"3","2018/06/15",1.15655,1.16270,1.15431,1.16085
"3","2018/06/14",1.17875,1.18486,1.15745,1.15764
"3","2018/06/13",1.17428,1.18009,1.17249,1.17908
"3","2018/06/12",1.17808,1.18090,1.17328,1.17451
"3","2018/06/11",1.17716,1.18205,1.17694,1.17847
"3","2018/06/08",1.17977,1.18103,1.17270,1.17701
"3","2018/06/07",1.17736,1.18399,1.17715,1.17962
"3","2018/06/06",1.17135,1.17955,1.17118,1.17741
"3","2018/06/05",1.16929,1.17321,1.16524,1.17152
"3","2018/06/04",1.16598,1.17444,1.16597,1.16952
"3","2018/06/01",1.16905,1.17179,1.16167,1.16649
"3","2018/05/31",1.16632,1.17242,1.16410,1.16959
"3","2018/05/30",1.15343,1.16761,1.15186,1.16691
"3","2018/05/29",1.16217,1.16396,1.15099,1.15339
"3","2018/05/28",1.16854,1.17283,1.16072,1.16254
"3","2018/05/25",1.17196,1.17334,1.16463,1.16571
"3","2018/05/24",1.16969,1.17502,1.16905,1.17208
"3","2018/05/23",1.17768,1.17895,1.16757,1.16967
"3","2018/05/22",1.17877,1.18297,1.17565,1.17772
"3","2018/05/21",1.17654,1.17952,1.17165,1.17909
"3","2018/05/18",1.17927,1.18220,1.17498,1.17685
"3","2018/05/17",1.18077,1.18374,1.17763,1.17946
"3","2018/05/16",1.18382,1.18541,1.17631,1.18074
"3","2018/05/15",1.19217,1.19384,1.18201,1.18389
"3","2018/05/14",1.19448,1.19960,1.19265,1.1927
"3","2018/05/11",1.19142,1.19678,1.18912,1.1943
"3","2018/05/10",1.18471,1.19464,1.18428,1.19152
"3","2018/05/09",1.18623,1.18968,1.18225,1.18516
"3","2018/05/08",1.19216,1.19393,1.18378,1.18659
"3","2018/05/07",1.19550,1.19779,1.18974,1.19234
"3","2018/05/04",1.19859,1.19954,1.19104,1.19608
"3","2018/05/03",1.19525,1.20088,1.19475,1.19875
"3","2018/05/02",1.19908,1.20316,1.19376,1.19501
"3","2018/05/01",1.20747,1.20841,1.19812,1.19922
"3","2018/04/30",1.21252,1.21386,1.20641,1.20797
"3","2018/04/27",1.21029,1.21328,1.20553,1.21306
"3","2018/04/26",1.21599,1.22099,1.20962,1.21035
"3","2018/04/25",1.22320,1.22388,1.21607,1.2161
"3","2018/04/24",1.22056,1.22447,1.21817,1.22315
"3","2018/04/23",1.22798,1.22894,1.21973,1.22068
"3","2018/04/20",1.23441,1.23528,1.22498,1.22884
"3","2018/04/19",1.23782,1.24000,1.23290,1.23448
"3","2018/04/18",1.23656,1.23971,1.23415,1.23751
"3","2018/04/17",1.23774,1.24136,1.23359,1.23698
"3","2018/04/16",1.23266,1.23945,1.23240,1.23798
"3","2018/04/13",1.23256,1.23458,1.23070,1.23358
"3","2018/04/12",1.23636,1.23797,1.22991,1.2326
"3","2018/04/11",1.23494,1.23967,1.23469,1.23672
"3","2018/04/10",1.23175,1.23775,1.23027,1.23539
"3","2018/04/09",1.22749,1.23307,1.22603,1.23191
"3","2018/04/06",1.22347,1.22906,1.22149,1.2281
"3","2018/04/05",1.22769,1.22901,1.22182,1.22403
"3","2018/04/04",1.22675,1.23145,1.22570,1.2279
"3","2018/04/03",1.23010,1.23357,1.22535,1.2268
"3","2018/04/02",1.23195,1.23449,1.22817,1.23015
"3","2018/03/30",1.23013,1.23305,1.22893,1.23275
"3","2018/03/29",1.23045,1.23350,1.22836,1.23008
"3","2018/03/28",1.24025,1.24213,1.22998,1.23061
"3","2018/03/27",1.24432,1.24761,1.23722,1.24019
"3","2018/03/26",1.23557,1.24613,1.23515,1.2449
"3","2018/03/23",1.23026,1.23732,1.23023,1.2358
"3","2018/03/22",1.23394,1.23882,1.22848,1.23018
"3","2018/03/21",1.22396,1.23499,1.22393,1.23419
"3","2018/03/20",1.23344,1.23543,1.22394,1.2241
"3","2018/03/19",1.22858,1.23584,1.22579,1.2337
