"通貨ペア","日付","始値","高値","安値","終値"
"27","2017/12/07",1.77024,1.79477,1.76783,1.79379
"27","2017/12/06",1.76668,1.77294,1.75708,1.77064
"27","2017/12/05",1.77332,1.77360,1.74880,1.7669
"27","2017/12/04",1.77031,1.77988,1.76466,1.77365
"27","2017/12/01",1.78822,1.79083,1.76664,1.77088
"27","2017/11/30",1.77073,1.78889,1.76865,1.78844
"27","2017/11/29",1.75696,1.77573,1.75528,1.7715
"27","2017/11/28",1.75115,1.76098,1.73621,1.75598
"27","2017/11/27",1.74914,1.75535,1.74525,1.75156
"27","2017/11/24",1.74427,1.75299,1.74258,1.74924
"27","2017/11/23",1.74803,1.75182,1.74154,1.74476
"27","2017/11/22",1.74714,1.75371,1.74377,1.7484
"27","2017/11/21",1.75315,1.75974,1.74340,1.74651
"27","2017/11/20",1.74676,1.75592,1.74500,1.75222
"27","2017/11/17",1.73791,1.75655,1.73785,1.74683
"27","2017/11/16",1.73540,1.74003,1.73148,1.73853
"27","2017/11/15",1.72485,1.73911,1.72385,1.73574
"27","2017/11/14",1.72028,1.72930,1.71289,1.72498
"27","2017/11/13",1.71956,1.72278,1.70780,1.72032
"27","2017/11/10",1.71161,1.72593,1.70629,1.72196
"27","2017/11/09",1.70728,1.71414,1.70427,1.71128
"27","2017/11/08",1.72268,1.72286,1.70362,1.70812
"27","2017/11/07",1.71261,1.72317,1.71091,1.72205
"27","2017/11/06",1.70854,1.71446,1.70717,1.71255
"27","2017/11/03",1.69269,1.71063,1.69176,1.70877
"27","2017/11/02",1.72531,1.72778,1.68950,1.69278
"27","2017/11/01",1.73445,1.73664,1.72190,1.72556
"27","2017/10/31",1.71775,1.73605,1.71554,1.73477
"27","2017/10/30",1.71076,1.72287,1.70989,1.71764
"27","2017/10/27",1.71730,1.72138,1.70912,1.71113
"27","2017/10/26",1.72079,1.72395,1.70933,1.7167
"27","2017/10/25",1.68904,1.72351,1.68642,1.72094
"27","2017/10/24",1.68975,1.69628,1.68518,1.68841
"27","2017/10/23",1.68698,1.69355,1.68362,1.69041
"27","2017/10/20",1.66947,1.68850,1.66837,1.68705
"27","2017/10/19",1.68246,1.68496,1.66898,1.66918
"27","2017/10/18",1.68102,1.68598,1.67845,1.68246
"27","2017/10/17",1.68759,1.69172,1.67937,1.68149
"27","2017/10/16",1.68583,1.69118,1.68359,1.68772
"27","2017/10/13",1.69554,1.70042,1.68422,1.685
"27","2017/10/12",1.69713,1.69905,1.67941,1.69536
"27","2017/10/11",1.69757,1.70053,1.69161,1.69769
"27","2017/10/10",1.69426,1.69808,1.68936,1.69766
"27","2017/10/09",1.68166,1.69919,1.68107,1.69439
"27","2017/10/06",1.68276,1.69121,1.67803,1.68104
"27","2017/10/05",1.68424,1.69223,1.68123,1.68307
"27","2017/10/04",1.68917,1.69236,1.68491,1.68516
"27","2017/10/03",1.69544,1.70102,1.68898,1.68938
"27","2017/10/02",1.70713,1.70985,1.69369,1.69634
"27","2017/09/29",1.71054,1.71227,1.70341,1.70921
"27","2017/09/28",1.70509,1.71812,1.70506,1.71073
"27","2017/09/27",1.70665,1.71051,1.69934,1.70564
"27","2017/09/26",1.69606,1.70777,1.69551,1.70614
"27","2017/09/25",1.69523,1.70419,1.69288,1.69701
"27","2017/09/22",1.71170,1.71668,1.69037,1.69374
"27","2017/09/21",1.68015,1.71272,1.67922,1.71196
"27","2017/09/20",1.68571,1.69120,1.67847,1.67992
"27","2017/09/19",1.69537,1.69854,1.68436,1.68769
"27","2017/09/18",1.69863,1.70052,1.68900,1.69516
"27","2017/09/15",1.67317,1.70007,1.67173,1.69898
"27","2017/09/14",1.65321,1.67993,1.64338,1.67404
"27","2017/09/13",1.65598,1.66005,1.64824,1.65416
"27","2017/09/12",1.63964,1.65814,1.63919,1.65601
"27","2017/09/11",1.63712,1.64352,1.63518,1.63952
"27","2017/09/08",1.62730,1.63956,1.61680,1.63918
"27","2017/09/07",1.62967,1.63464,1.62583,1.62757
"27","2017/09/06",1.62950,1.63874,1.62484,1.63059
"27","2017/09/05",1.62649,1.63175,1.61801,1.62965
"27","2017/09/04",1.62955,1.63110,1.62403,1.62761
"27","2017/09/01",1.62618,1.63268,1.62346,1.62606
"27","2017/08/31",1.63443,1.63779,1.62313,1.62717
"27","2017/08/30",1.62431,1.63756,1.61660,1.63583
"27","2017/08/29",1.62335,1.63542,1.62044,1.62459
"27","2017/08/28",1.62701,1.62734,1.62142,1.62313
"27","2017/08/25",1.61921,1.62498,1.61614,1.62242
"27","2017/08/24",1.61864,1.62651,1.61701,1.61981
"27","2017/08/23",1.62086,1.62629,1.61816,1.61911
"27","2017/08/22",1.62439,1.62538,1.61704,1.62085
"27","2017/08/21",1.62319,1.62754,1.62086,1.62469
"27","2017/08/18",1.63177,1.63478,1.61845,1.62382
"27","2017/08/17",1.62440,1.63261,1.61890,1.63159
"27","2017/08/16",1.64470,1.64600,1.62397,1.62602
"27","2017/08/15",1.65046,1.65504,1.64145,1.64559
"27","2017/08/14",1.64822,1.65211,1.64249,1.65059
"27","2017/08/11",1.64745,1.65665,1.64245,1.64859
"27","2017/08/10",1.64865,1.65106,1.64393,1.64818
"27","2017/08/09",1.64068,1.65387,1.64067,1.649
"27","2017/08/08",1.64695,1.64864,1.63894,1.6418
"27","2017/08/07",1.64477,1.65109,1.64207,1.6473
"27","2017/08/04",1.65211,1.65540,1.64381,1.64468
"27","2017/08/03",1.65953,1.67356,1.65066,1.65297
"27","2017/08/02",1.65687,1.66448,1.65636,1.65963
"27","2017/08/01",1.65060,1.66064,1.64223,1.65694
"27","2017/07/31",1.64486,1.65368,1.64200,1.65223
"27","2017/07/28",1.63964,1.64728,1.63701,1.64534
"27","2017/07/27",1.63778,1.64553,1.63023,1.63962
"27","2017/07/26",1.64038,1.65267,1.63658,1.63796
"27","2017/07/25",1.64352,1.64763,1.63877,1.641
"27","2017/07/24",1.64188,1.64646,1.63365,1.644
"27","2017/07/21",1.63057,1.64616,1.62949,1.64108
"27","2017/07/20",1.63762,1.64512,1.62680,1.63024
"27","2017/07/19",1.64733,1.64817,1.63608,1.63725
"27","2017/07/18",1.67314,1.67687,1.63869,1.64658
"27","2017/07/17",1.67465,1.67757,1.66662,1.67389
"27","2017/07/14",1.67368,1.67618,1.66202,1.67428
"27","2017/07/13",1.67746,1.68025,1.66910,1.67375
"27","2017/07/12",1.68199,1.68393,1.67465,1.67824
"27","2017/07/11",1.69282,1.69807,1.68127,1.68225
"27","2017/07/10",1.69561,1.69848,1.69283,1.69321
"27","2017/07/07",1.71013,1.71220,1.69145,1.69463
"27","2017/07/06",1.70031,1.71088,1.69861,1.70957
"27","2017/07/05",1.69897,1.70594,1.69314,1.70048
"27","2017/07/04",1.68940,1.70321,1.68505,1.69861
"27","2017/07/03",1.69460,1.69780,1.68866,1.68916
"27","2017/06/30",1.69181,1.69608,1.68617,1.69411
