"通貨ペア","日付","始値","高値","安値","終値"
"20","2018/02/16",0.73193,0.73507,0.73137,0.73344
"20","2018/02/15",0.73621,0.73742,0.72874,0.73209
"20","2018/02/14",0.73454,0.73727,0.72737,0.73619
"20","2018/02/13",0.73769,0.73970,0.73133,0.73469
"20","2018/02/12",0.73367,0.73834,0.73236,0.73833
"20","2018/02/09",0.72750,0.73516,0.72672,0.73432
"20","2018/02/08",0.73768,0.73967,0.72770,0.72847
"20","2018/02/07",0.73948,0.74199,0.73483,0.73712
"20","2018/02/06",0.73390,0.74007,0.72989,0.7398
"20","2018/02/05",0.73753,0.74403,0.73272,0.7337
"20","2018/02/02",0.74394,0.74487,0.73742,0.7378
"20","2018/02/01",0.74974,0.75086,0.74279,0.74466
"20","2018/01/31",0.75519,0.75748,0.74890,0.75013
"20","2018/01/30",0.75854,0.75931,0.75342,0.75504
"20","2018/01/29",0.75681,0.75898,0.75534,0.75861
"20","2018/01/26",0.75511,0.75934,0.75418,0.75688
"20","2018/01/25",0.76100,0.76419,0.75041,0.75569
"20","2018/01/24",0.76542,0.76773,0.76109,0.76297
"20","2018/01/23",0.77063,0.77128,0.76431,0.76605
"20","2018/01/22",0.76825,0.77126,0.76747,0.77096
"20","2018/01/19",0.76648,0.77007,0.76505,0.76937
"20","2018/01/18",0.76877,0.77049,0.76565,0.76671
"20","2018/01/17",0.76313,0.77025,0.76295,0.76906
"20","2018/01/16",0.76668,0.76809,0.76256,0.76364
"20","2018/01/15",0.76481,0.76860,0.76345,0.76678
"20","2018/01/12",0.76994,0.77028,0.76287,0.76599
"20","2018/01/11",0.76671,0.77270,0.76636,0.77002
"20","2018/01/10",0.76822,0.76993,0.76487,0.76706
"20","2018/01/09",0.76569,0.76957,0.76557,0.76889
"20","2018/01/08",0.76618,0.76728,0.76396,0.76602
"20","2018/01/05",0.76584,0.76772,0.76401,0.76623
"20","2018/01/04",0.76531,0.76733,0.76301,0.76636
"20","2018/01/03",0.76044,0.76689,0.75874,0.7652
"20","2018/01/02",0.75939,0.76356,0.75913,0.76056
"20","2017/12/29",0.76345,0.76366,0.75942,0.76029
"20","2017/12/28",0.76537,0.76696,0.76131,0.76281
"20","2017/12/27",0.76400,0.76930,0.76356,0.76642
"20","2017/12/26",0.76297,0.76481,0.76239,0.76451
"20","2017/12/25",0.76210,0.76378,0.76202,0.76305
"20","2017/12/22",0.76084,0.76461,0.76082,0.763
"20","2017/12/21",0.75552,0.76210,0.75458,0.76123
"20","2017/12/20",0.75445,0.75840,0.75311,0.75624
"20","2017/12/19",0.75460,0.75683,0.75394,0.75429
"20","2017/12/18",0.75638,0.75935,0.75500,0.75528
"20","2017/12/15",0.75758,0.76063,0.75613,0.75623
"20","2017/12/14",0.75190,0.75933,0.75131,0.75797
"20","2017/12/13",0.74907,0.75360,0.74866,0.75229
"20","2017/12/12",0.74615,0.75118,0.74535,0.74911
"20","2017/12/11",0.74612,0.74705,0.74455,0.74636
"20","2017/12/08",0.74651,0.74949,0.74437,0.74516
"20","2017/12/07",0.74814,0.74899,0.74475,0.74655
"20","2017/12/06",0.75047,0.75369,0.74670,0.74853
"20","2017/12/05",0.74791,0.75425,0.74784,0.75082
"20","2017/12/04",0.74485,0.74915,0.74354,0.74845
"20","2017/12/01",0.74364,0.74935,0.74215,0.74274
"20","2017/11/30",0.74550,0.74736,0.74304,0.74399
"20","2017/11/29",0.74762,0.74846,0.74425,0.74515
"20","2017/11/28",0.74591,0.74891,0.74465,0.74702
"20","2017/11/27",0.74543,0.74974,0.74405,0.7462
"20","2017/11/24",0.74825,0.74866,0.74508,0.74604
"20","2017/11/23",0.74795,0.74891,0.74615,0.74876
"20","2017/11/22",0.75019,0.75194,0.74512,0.74803
"20","2017/11/21",0.74943,0.75341,0.74777,0.75118
"20","2017/11/20",0.74771,0.74986,0.74600,0.74983
"20","2017/11/17",0.75415,0.75434,0.74634,0.74791
"20","2017/11/16",0.74973,0.75454,0.74848,0.75401
"20","2017/11/15",0.75419,0.75521,0.74724,0.74988
"20","2017/11/14",0.75891,0.76087,0.75366,0.75497
"20","2017/11/13",0.76189,0.76364,0.75884,0.75916
"20","2017/11/10",0.76282,0.76478,0.76091,0.76264
"20","2017/11/09",0.76751,0.76892,0.76083,0.76318
"20","2017/11/08",0.76384,0.76825,0.76334,0.76776
"20","2017/11/07",0.76656,0.76834,0.76207,0.7644
"20","2017/11/06",0.76404,0.76742,0.76404,0.767
"20","2017/11/03",0.77038,0.77103,0.76393,0.76491
"20","2017/11/02",0.76940,0.77185,0.76860,0.77083
"20","2017/11/01",0.76309,0.76992,0.76285,0.76988
"20","2017/10/31",0.76394,0.76593,0.76233,0.76344
"20","2017/10/30",0.76503,0.76642,0.76313,0.76423
"20","2017/10/27",0.76391,0.76680,0.76123,0.76517
"20","2017/10/26",0.76204,0.76609,0.75964,0.76425
"20","2017/10/25",0.77019,0.77115,0.75953,0.762
"20","2017/10/24",0.76865,0.77072,0.76638,0.77038
"20","2017/10/23",0.76920,0.77190,0.76849,0.76861
"20","2017/10/20",0.76869,0.77180,0.76785,0.76932
"20","2017/10/19",0.76974,0.77121,0.76606,0.76893
"20","2017/10/18",0.76714,0.76999,0.76653,0.76995
"20","2017/10/17",0.76520,0.76838,0.76464,0.76728
"20","2017/10/16",0.76830,0.76942,0.76434,0.76572
"20","2017/10/13",0.76239,0.76900,0.76239,0.76828
"20","2017/10/12",0.75772,0.76413,0.75758,0.76254
"20","2017/10/11",0.75774,0.76016,0.75573,0.75778
"20","2017/10/10",0.75930,0.76212,0.75793,0.75823
"20","2017/10/09",0.75991,0.76090,0.75774,0.75946
"20","2017/10/06",0.76214,0.76282,0.75787,0.75985
"20","2017/10/05",0.76597,0.76681,0.76190,0.76228
"20","2017/10/04",0.76230,0.76653,0.76198,0.76641
"20","2017/10/03",0.76237,0.76494,0.76023,0.76265
"20","2017/10/02",0.75841,0.76363,0.75694,0.76266
"20","2017/09/29",0.76177,0.76205,0.75756,0.75867
"20","2017/09/28",0.76279,0.76352,0.75927,0.76203
"20","2017/09/27",0.76330,0.76704,0.76259,0.76266
"20","2017/09/26",0.76678,0.76921,0.76327,0.76395
"20","2017/09/25",0.77160,0.77536,0.76414,0.76666
"20","2017/09/22",0.76927,0.77331,0.76580,0.7719
"20","2017/09/21",0.77802,0.77945,0.76864,0.76986
"20","2017/09/20",0.77057,0.77870,0.76983,0.77855
"20","2017/09/19",0.76471,0.77163,0.76462,0.77072
"20","2017/09/18",0.76807,0.77115,0.76396,0.76571
"20","2017/09/15",0.77022,0.77162,0.76689,0.76725
"20","2017/09/14",0.76968,0.77534,0.76850,0.77061
"20","2017/09/13",0.76935,0.77190,0.76901,0.76958
"20","2017/09/12",0.76645,0.77189,0.76486,0.76969
"20","2017/09/11",0.76219,0.76778,0.76170,0.7677
"20","2017/09/08",0.76446,0.76774,0.76027,0.76028
"20","2017/09/07",0.76491,0.76783,0.76216,0.76489
"20","2017/09/06",0.76326,0.76602,0.76006,0.76494
"20","2017/09/05",0.76074,0.76877,0.75890,0.76357
"20","2017/09/04",0.76247,0.76597,0.75931,0.76113
"20","2017/09/01",0.76120,0.76924,0.76004,0.76841
"20","2017/08/31",0.76100,0.76439,0.75966,0.76149
"20","2017/08/30",0.75946,0.76363,0.75675,0.76107
"20","2017/08/29",0.75948,0.76006,0.75052,0.75954
"20","2017/08/28",0.75743,0.76130,0.75559,0.76079
"20","2017/08/25",0.76261,0.76440,0.75798,0.75845
"20","2017/08/24",0.76271,0.76396,0.75931,0.76262
"20","2017/08/23",0.76532,0.76632,0.76110,0.76306
"20","2017/08/22",0.76344,0.76706,0.76255,0.76569
"20","2017/08/21",0.76469,0.76702,0.76219,0.76346
"20","2017/08/18",0.75886,0.76762,0.75728,0.76479
"20","2017/08/17",0.76534,0.76931,0.75870,0.75899
"20","2017/08/16",0.76022,0.76898,0.75996,0.76524
"20","2017/08/15",0.76287,0.76650,0.75973,0.7603
"20","2017/08/14",0.75892,0.76406,0.75882,0.76308
"20","2017/08/11",0.75770,0.76008,0.75301,0.75907
"20","2017/08/10",0.75956,0.76274,0.75700,0.75768
"20","2017/08/09",0.77043,0.77084,0.75663,0.75963
"20","2017/08/08",0.76940,0.77203,0.76905,0.77076
"20","2017/08/07",0.77097,0.77252,0.76823,0.76991
"20","2017/08/04",0.76933,0.77219,0.76795,0.77126
"20","2017/08/03",0.77271,0.77316,0.76630,0.76934
"20","2017/08/02",0.76893,0.77367,0.76757,0.77346
"20","2017/08/01",0.77304,0.77756,0.76805,0.7694
"20","2017/07/31",0.77354,0.77447,0.76897,0.77339
"20","2017/07/28",0.76821,0.77591,0.76793,0.77388
"20","2017/07/27",0.76056,0.76985,0.76020,0.76863
"20","2017/07/26",0.75563,0.76124,0.75081,0.76097
"20","2017/07/25",0.74955,0.75582,0.74872,0.75582
"20","2017/07/24",0.74744,0.75359,0.74727,0.74973
"20","2017/07/21",0.75628,0.75694,0.74714,0.74871
"20","2017/07/20",0.75875,0.76235,0.75496,0.75678
"20","2017/07/19",0.75523,0.76018,0.75488,0.75987
"20","2017/07/18",0.75036,0.76031,0.74828,0.75599
"20","2017/07/17",0.75326,0.75456,0.74968,0.75017
"20","2017/07/14",0.74719,0.75466,0.74690,0.75381
"20","2017/07/13",0.74056,0.74832,0.73965,0.74755
"20","2017/07/12",0.73564,0.74151,0.73518,0.74089
"20","2017/07/11",0.73403,0.73777,0.73392,0.73588
"20","2017/07/10",0.73184,0.73444,0.73154,0.7343
"20","2017/07/07",0.72815,0.73391,0.72750,0.73239
