"通貨ペア","日付","始値","高値","安値","終値"
"8","2018/01/30",88.144,88.279,87.449,87.918
"8","2018/01/29",88.028,88.320,87.914,88.182
"8","2018/01/26",87.776,88.491,87.744,88.113
"8","2018/01/25",87.863,88.324,87.695,87.837
"8","2018/01/24",88.145,88.413,87.862,88.154
"8","2018/01/23",88.883,89.053,87.896,88.218
"8","2018/01/22",88.413,88.976,88.367,88.925
"8","2018/01/19",88.795,88.998,88.358,88.55
"8","2018/01/18",88.625,88.971,88.389,88.845
"8","2018/01/17",87.875,88.986,87.823,88.693
"8","2018/01/16",88.002,88.404,87.707,87.944
"8","2018/01/15",87.758,88.154,87.659,88.019
"8","2018/01/12",87.784,87.927,87.379,87.849
"8","2018/01/11",87.336,88.075,87.267,87.809
"8","2018/01/10",88.088,88.158,87.193,87.383
"8","2018/01/09",88.664,88.836,87.850,88.117
"8","2018/01/08",88.908,89.063,88.464,88.653
"8","2018/01/05",88.575,89.077,88.430,88.91
"8","2018/01/04",88.103,88.694,88.072,88.646
"8","2018/01/03",87.881,88.220,87.683,88.154
"8","2018/01/02",87.835,88.390,87.624,87.915
"8","2017/12/29",87.988,88.146,87.744,87.916
"8","2017/12/28",87.903,88.100,87.751,87.997
"8","2017/12/27",87.435,88.136,87.416,88.08
"8","2017/12/26",87.402,87.536,87.372,87.498
"8","2017/12/25",87.242,87.482,87.237,87.426
"8","2017/12/22",87.234,87.514,87.216,87.375
"8","2017/12/21",86.879,87.399,86.695,87.257
"8","2017/12/20",86.457,86.963,86.416,86.913
"8","2017/12/19",86.193,86.621,86.173,86.474
"8","2017/12/18",86.131,86.421,85.951,86.254
"8","2017/12/15",86.097,86.314,85.950,86.076
"8","2017/12/14",85.906,86.479,85.906,86.168
"8","2017/12/13",85.789,86.109,85.652,85.937
"8","2017/12/12",85.399,85.978,85.305,85.81
"8","2017/12/11",85.219,85.511,85.136,85.462
"8","2017/12/08",84.900,85.362,84.895,85.219
"8","2017/12/07",84.863,85.033,84.654,84.93
"8","2017/12/06",85.630,85.793,84.821,84.926
"8","2017/12/05",85.362,86.189,85.359,85.623
"8","2017/12/04",85.643,85.948,85.355,85.409
"8","2017/12/01",85.098,85.709,84.961,85.343
"8","2017/11/30",84.689,85.197,84.636,85.147
"8","2017/11/29",84.670,84.903,84.446,84.749
"8","2017/11/28",84.435,84.815,84.376,84.641
"8","2017/11/27",84.887,85.043,84.337,84.438
"8","2017/11/24",84.775,85.030,84.732,84.987
"8","2017/11/23",84.691,84.924,84.509,84.814
"8","2017/11/22",85.172,85.246,84.587,84.744
"8","2017/11/21",84.970,85.302,84.736,85.199
"8","2017/11/20",84.802,85.066,84.488,85.02
"8","2017/11/17",85.756,85.837,84.628,84.797
"8","2017/11/16",85.575,86.008,85.476,85.759
"8","2017/11/15",86.514,86.576,85.487,85.628
"8","2017/11/14",86.526,86.828,86.298,86.571
"8","2017/11/13",86.831,87.077,86.504,86.611
"8","2017/11/10",87.094,87.242,86.835,86.947
"8","2017/11/09",87.358,87.657,86.775,87.116
"8","2017/11/08",87.066,87.456,86.963,87.41
"8","2017/11/07",87.406,87.682,86.924,87.113
"8","2017/11/06",87.185,87.650,87.174,87.444
"8","2017/11/03",87.958,88.019,87.182,87.237
"8","2017/11/02",87.571,88.079,87.515,87.993
"8","2017/11/01",86.943,87.711,86.931,87.604
"8","2017/10/31",86.957,87.147,86.677,87.003
"8","2017/10/30",87.204,87.315,86.775,87.008
"8","2017/10/27",87.285,87.451,87.031,87.242
"8","2017/10/26",87.579,87.813,87.236,87.348
"8","2017/10/25",88.521,88.652,87.323,87.602
"8","2017/10/24",88.503,88.680,88.372,88.592
"8","2017/10/23",88.902,89.064,88.415,88.536
"8","2017/10/20",88.637,88.973,88.586,88.699
"8","2017/10/19",88.572,88.972,88.379,88.672
"8","2017/10/18",87.963,88.618,87.945,88.596
"8","2017/10/17",88.015,88.145,87.771,88.003
"8","2017/10/16",88.172,88.273,87.762,88.081
"8","2017/10/13",87.753,88.300,87.645,88.209
"8","2017/10/12",87.535,87.978,87.531,87.795
"8","2017/10/11",87.380,87.632,87.268,87.595
"8","2017/10/10",87.313,87.754,87.234,87.442
"8","2017/10/09",87.569,87.603,87.271,87.365
"8","2017/10/06",87.880,87.976,87.392,87.52
"8","2017/10/05",88.596,88.728,87.763,87.92
"8","2017/10/04",88.355,88.690,88.314,88.629
"8","2017/10/03",88.214,88.456,88.101,88.402
"8","2017/10/02",88.107,88.468,88.022,88.194
"8","2017/09/29",88.154,88.441,87.936,88.193
"8","2017/09/28",88.501,88.668,88.006,88.245
"8","2017/09/27",88.450,88.870,88.274,88.512
"8","2017/09/26",88.604,88.759,88.237,88.5
"8","2017/09/25",89.180,89.666,88.351,88.651
"8","2017/09/22",89.166,89.362,88.458,89.144
"8","2017/09/21",90.073,90.295,88.883,89.225
"8","2017/09/20",89.314,90.172,89.217,90.051
"8","2017/09/19",88.683,89.480,88.683,89.354
"8","2017/09/18",88.822,89.327,88.547,88.847
"8","2017/09/15",88.197,89.257,87.663,88.71
"8","2017/09/14",88.175,88.718,87.986,88.219
"8","2017/09/13",88.289,88.544,88.081,88.19
"8","2017/09/12",87.762,88.464,87.475,88.33
"8","2017/09/11",87.147,87.888,87.087,87.833
"8","2017/09/08",87.226,87.716,86.662,86.824
